Geoffrey Mann,58,90,61,84,78,59,74,80,62,55,68,80,58,100,75,69,96,85
Myrtis Bergstrom,56,89,95,62,96,91,55,61,70,59,68,62,60,78,64,88,68,92
Otha Rutherford,93,81,77,67,90,88,68,97,83,57,74,69,57,57,92,59,88,93
Tiana Hansen,99,62,68,85,91,59,69,72,56,56,80,97,72,93,99,61,60,62
Jamarcus Schoen,97,89,63,62,66,81,61,92,83,82,84,66,65,65,78,87,88,99
Adolphus Kertzmann,75,83,92,61,64,89,96,87,79,67,99,91,56,77,80,100,55,79
Cecile Mayer,78,74,98,64,75,58,64,100,56,64,73,75,89,78,81,92,97,83
Julia Wehner,59,78,57,80,67,65,66,55,55,58,78,85,78,83,55,69,71,72
Theresa Metz,98,86,92,76,100,83,58,84,70,59,89,88,69,65,85,80,85,59
Edison Fisher,70,69,58,99,73,73,72,62,99,96,65,85,61,76,67,97,82,99
Keenan Kunde,74,89,69,79,60,84,98,65,59,86,100,58,73,64,98,91,70,86
Tiara Quigley,99,88,70,67,83,80,94,76,91,77,86,90,65,73,93,74,62,56
Jenifer Corwin,61,61,92,72,92,94,67,87,97,59,92,84,78,81,56,83,57,72
Zena Heller,97,93,97,86,86,64,99,82,57,80,82,97,97,81,72,62,88,63
Maxine Paucek,79,57,65,88,66,67,77,59,72,83,65,94,60,64,66,64,85,70
Westley Schimmel,90,92,74,55,89,62,86,71,56,88,76,73,92,92,55,77,89,69
Dorcas Feeney,100,80,98,67,75,66,66,67,77,99,97,92,71,86,98,61,90,79
Americo Kemmer,60,75,71,59,70,71,69,79,97,80,85,70,90,65,59,60,57,70
Everette Lind,71,93,61,99,63,85,99,78,87,79,78,70,86,64,98,61,89,89
Zoila Bradtke,63,87,84,89,58,85,89,62,79,84,93,83,73,61,83,86,56,89
Sienna Hamill,71,83,100,88,57,84,89,58,61,78,70,74,70,83,99,76,85,69
Daniella Crist,98,85,78,60,82,81,96,85,82,97,81,58,77,55,81,99,85,76
Ramon Osinski,64,83,90,78,58,95,77,90,85,55,66,56,97,72,56,100,86,91
Lacey Goyette,98,83,97,81,90,74,59,81,72,61,64,93,80,84,60,62,85,96
Missouri Herman,67,69,86,68,89,61,99,99,78,60,93,63,81,68,75,94,65,84
Arvilla Fay,58,63,76,97,62,66,63,84,78,73,89,82,68,86,73,67,82,92
Merlin Zulauf,98,57,66,90,96,93,66,63,62,85,57,61,87,58,87,88,86,95
Zakary Carter,92,68,84,84,76,70,65,85,88,69,65,79,74,95,61,63,63,95
Hettie Hamill,74,56,100,73,71,69,73,56,68,94,82,61,78,59,78,66,63,86
Adriel Bogan,100,76,93,88,64,70,77,58,55,78,65,92,63,95,74,73,86,55
Hillard Auer,65,70,88,91,92,97,61,78,92,63,78,73,57,66,64,83,58,62
Roxanne Breitenberg,87,59,55,97,74,97,100,81,93,93,66,83,81,96,58,86,71,84
Jaycee Ernser,59,67,85,88,63,74,82,67,61,82,82,57,89,81,99,94,58,81
Emilie Waters,67,90,95,95,99,83,91,65,100,93,85,77,79,89,75,81,80,60
Kristina Mante,82,93,59,82,92,71,77,89,66,61,56,69,65,76,72,70,71,99
Mariana Boehm,83,84,82,89,94,63,85,93,98,86,86,72,65,82,66,71,71,95
Abigayle Cartwright,74,55,74,62,88,100,77,88,81,94,78,76,81,83,93,72,77,60
Jamarcus Schuster,87,92,98,94,65,81,96,97,72,55,98,60,74,58,59,94,73,72
Easton Harvey,56,57,55,83,63,69,81,62,75,85,94,76,80,74,85,89,73,60
Marques Blick,95,86,99,65,83,57,92,82,75,88,70,99,64,90,86,94,80,76
Ambrose Conn,64,86,85,87,58,97,60,83,73,92,97,71,67,94,72,79,65,56
Jakayla Hermann,64,66,69,86,80,87,60,88,82,59,60,70,75,69,65,90,78,89
Nat Simonis,84,90,67,83,78,72,55,79,86,62,62,96,88,80,92,75,76,91
Trycia Schmeler,67,76,58,69,87,56,86,89,68,100,63,64,55,78,99,100,69,84
Jalon Hudson,63,63,63,94,85,65,56,77,88,72,94,88,66,77,83,64,88,76
Gracie Tromp,77,60,58,84,94,85,66,88,75,99,74,99,80,90,67,76,68,86
Paul Spencer,59,96,68,66,83,73,65,84,76,60,88,88,95,85,84,79,62,66
Diamond Rohan,63,77,95,79,68,72,90,69,82,95,71,91,94,98,83,81,100,95
Issac Waelchi,85,80,71,58,80,69,80,84,57,92,59,76,63,60,71,75,80,64
Braden Herzog,70,84,66,88,70,61,68,73,100,76,91,94,88,74,65,95,71,90
Jules Leffler,80,62,77,57,69,98,98,92,71,66,67,67,77,69,66,65,75,85
Joe Hilpert,99,91,83,90,68,59,89,80,76,58,81,76,60,67,82,98,94,77
Tanner Grant,71,98,62,81,72,59,85,75,79,73,63,87,77,89,88,60,55,87
Roxanne Monahan,68,87,75,55,76,76,65,83,91,85,100,62,92,67,70,74,61,61
Hyman Predovic,78,82,73,97,94,71,98,93,75,72,74,60,80,63,96,82,83,91
Deron Schuster,66,96,69,95,59,90,86,100,98,86,76,82,64,84,92,99,88,59
Orville Breitenberg,97,99,63,95,71,74,77,56,70,92,84,82,63,78,85,85,55,79
Marco Howell,58,70,65,60,85,90,69,72,71,94,80,70,73,78,69,68,83,92
Timmy Miller,88,83,71,88,97,72,92,67,56,91,99,89,87,63,56,83,71,82
Michaela Moen,95,83,67,71,83,89,75,93,100,79,57,71,76,84,65,91,69,85
Nick Friesen,57,77,67,86,93,72,96,87,62,81,62,75,88,81,81,72,81,94
Chanelle Purdy,77,60,100,94,64,60,98,64,76,94,60,93,79,86,72,72,98,71
Erwin Barrows,87,80,70,71,79,86,56,73,66,60,72,70,81,61,69,59,61,89
Tyshawn Johns,60,77,59,70,91,77,59,88,80,87,64,58,62,88,91,57,95,91
Aryanna Wisozk,66,75,55,60,92,75,78,64,95,76,64,59,62,67,97,92,64,98
Jevon Murazik,94,57,71,72,82,82,58,97,80,83,67,97,69,81,69,61,79,94
Jaylon Dickinson,92,73,66,78,60,91,79,84,78,72,98,92,88,61,98,60,59,92
Audra Osinski,57,91,63,59,56,62,67,89,82,59,84,71,84,66,93,99,61,59
Lamar Lehner,60,85,71,88,58,77,86,71,67,55,78,87,97,68,73,79,85,57
Houston Quigley,77,55,74,73,63,77,72,69,72,93,98,65,61,83,89,100,67,66
Roel Davis,91,93,56,88,71,80,79,61,96,84,93,99,95,55,72,73,92,62
Domenico Little,68,58,88,63,72,82,73,94,98,71,78,62,56,70,99,64,61,57
Giuseppe Durgan,97,90,55,69,95,98,96,58,67,97,60,100,67,68,97,79,87,92
Kevon Reichel,90,78,60,92,74,88,73,74,97,78,59,92,87,92,93,60,79,83
Kari Mertz,85,81,60,77,60,89,95,89,57,73,94,58,61,72,64,99,66,84
Helmer Kilback,68,59,76,84,67,89,81,90,70,100,91,86,55,77,91,68,94,58
Sibyl Roberts,73,81,73,85,88,86,93,79,84,69,65,68,71,90,77,94,63,96
Martin Macejkovic,81,55,94,91,80,89,58,87,55,64,79,83,98,97,64,83,81,62
Sylvia Daugherty,65,98,89,100,77,72,100,84,92,57,83,59,92,56,88,63,84,94
Barry Brakus,70,61,96,92,74,57,95,79,72,57,90,69,93,78,58,82,91,100
Talon Lockman,80,98,100,88,62,60,55,95,78,63,83,94,92,96,89,68,69,89
Lyda Frami,96,88,80,84,88,61,97,57,70,94,79,83,93,64,95,75,80,57
Suzanne Lebsack,73,73,66,67,96,78,96,78,90,60,59,90,99,68,73,94,98,82
Vicente Jacobson,63,60,75,97,84,75,78,83,66,60,78,85,57,99,65,98,91,86
Kristina Cummings,93,95,62,70,95,78,60,66,93,89,74,68,94,98,55,62,91,79
Hallie Ortiz,67,65,98,58,83,82,76,67,70,82,99,98,93,73,69,96,72,55
Gus Heller,89,67,83,59,73,60,85,55,91,91,79,57,67,69,60,84,80,76
Allen Ullrich,89,71,90,82,86,64,83,73,65,89,91,100,97,100,93,98,86,95
Brandy Kessler,78,92,80,92,63,69,95,55,93,90,93,97,58,64,90,57,85,87
Skylar Moen,76,68,98,65,85,91,94,67,63,71,68,85,64,78,86,89,62,66
Forest Watsica,73,90,63,60,79,64,59,56,61,73,55,97,59,96,78,71,92,60
Annabel Connelly,57,68,85,59,96,66,57,85,58,72,95,59,87,97,83,72,88,81
Jayce Casper,84,99,70,95,81,85,78,77,69,60,67,82,85,92,74,95,65,87
Ronaldo Dickinson,72,94,70,55,76,78,55,76,58,76,81,76,61,69,79,93,68,91
Lempi Blanda,81,62,86,84,90,83,55,69,61,82,71,95,56,77,84,72,83,71
Shaniya Kunde,93,94,60,87,100,74,77,93,69,61,84,60,55,84,71,61,88,84
Hank Nolan,67,100,98,84,55,65,70,79,66,65,100,76,56,91,76,94,66,96
Hayden Jacobson,98,70,98,62,70,71,98,60,96,100,64,60,94,56,90,90,96,64
Ruben Jast,90,56,99,96,76,93,93,74,85,88,58,65,64,58,100,90,93,91
Bria Boehm,71,90,93,78,78,63,64,98,55,58,56,56,83,80,91,74,64,96
Kathryn Crooks,93,94,73,95,75,66,99,58,55,63,100,84,83,56,58,57,98,76
Janae West,86,89,78,79,94,92,97,76,74,72,98,64,75,87,64,94,91,96
Trudie Cruickshank,72,61,73,85,65,59,95,81,80,93,100,75,59,90,55,74,97,89
Juwan Schimmel,73,96,96,55,70,77,92,66,77,87,58,68,81,87,73,100,57,76
Kari Murphy,68,55,79,62,90,60,80,73,75,75,71,89,63,62,66,89,58,68
Wyman Douglas,91,60,61,67,57,80,87,76,62,97,58,78,77,94,69,92,70,90
Donna Collier,91,88,70,77,93,97,81,74,57,76,65,74,83,62,99,83,74,98
Jakob Murray,77,75,86,61,94,98,72,72,96,88,99,70,80,58,75,90,94,58
Lindsey Senger,99,93,57,66,69,85,78,55,65,67,86,70,84,69,91,69,69,98
Kenny Schimmel,88,99,84,87,67,94,94,64,70,83,55,74,87,77,81,62,97,77
Willa Wisoky,81,72,67,95,97,58,84,58,70,85,61,58,98,97,72,71,85,80
Vivianne Ferry,85,91,56,64,97,73,79,82,90,62,75,87,57,84,57,73,89,69
Abraham Rice,77,81,87,78,61,73,66,90,91,77,71,58,67,88,66,88,76,68
Theodore Schamberger,64,94,58,60,60,88,57,98,73,66,90,83,57,77,76,74,81,91
Wilber Kilback,96,87,59,95,81,88,98,87,70,91,65,86,88,61,90,68,93,63
Samson Lind,73,98,65,89,80,80,62,84,71,98,57,89,59,55,67,82,63,89
Reanna Hane,69,87,80,60,60,69,61,90,73,71,90,55,71,76,91,68,58,55
Lois Gusikowski,81,74,61,99,65,61,96,75,66,71,61,88,77,71,63,64,84,59
Hyman Gaylord,70,94,59,72,66,73,91,94,57,78,66,71,99,98,90,56,61,81
